DATE TIME CPU_USAGE MEMORY_USAGE DISK_USAGE
2023-04-12 21:16:59 18.80% 49.30% 8%
2023-04-12 21:17:04 1.60% 48.95% 8%
2023-04-12 21:17:10 3.20% 49.23% 8%
2023-04-12 21:17:15 4.60% 48.81% 8%
2023-04-12 21:17:20 11.30% 49.12% 8%
2023-04-12 21:17:25 9.30% 48.88% 8%
2023-04-12 21:17:30 6.60% 49.04% 8%
2023-04-12 21:17:35 45.10% 48.87% 8%
2023-04-12 21:17:41 13.20% 48.92% 8%
2023-04-12 21:17:46 9.10% 48.99% 8%
2023-04-12 21:17:51 8.10% 49.01% 8%
2023-04-12 21:17:56 1.60% 48.92% 8%
2023-04-12 21:18:01 4.80% 49.06% 8%
2023-04-12 21:18:07 4.80% 49.13% 8%
2023-04-12 21:18:12 9.40% 48.69% 8%
2023-04-12 21:18:17 13.80% 48.79% 8%
2023-04-12 21:18:22 3.20% 48.90% 8%
2023-04-12 21:18:27 10.70% 48.90% 8%
2023-04-12 21:18:32 3.20% 48.91% 8%
2023-04-12 21:18:38 7.80% 48.98% 8%
2023-04-12 21:18:43 6.20% 49.04% 8%
2023-04-12 21:18:48 7.60% 49.06% 8%
2023-04-12 21:18:53 11.10% 49.14% 8%
2023-04-12 21:18:58 4.70% 48.65% 8%
